# Результаты сопоставления станций метро ЦИАН ↔ БД
# Обработка дублирующихся названий станций с учетом line_id
# Пример: "Перово" на линии 9 → cian_id=90, на линии 36 → cian_id=474
# Автоматический выбор при разнице line_id ≤ 5 с предупреждением
# Ручное исправление: Зеленоград-Крюково (линия 36) → cian_id=455
line_id,name,cian_id,mapping_status
17,Косино,370,Сопоставлено
17,Окская,375,Сопоставлено
17,Юго-Восточная,374,Сопоставлено
17,Лухмановская,372,Сопоставлено
17,Некрасовка,373,Сопоставлено
17,Нижегородская,303,Сопоставлено
17,Стахановская,376,Сопоставлено
17,Улица Дмитриевского,371,Сопоставлено
36,Удельная,485,Сопоставлено
36,Фабричная,491,Сопоставлено
36,Кратово,489,Сопоставлено
36,Отдых,488,Сопоставлено
36,Ильинская,487,Сопоставлено
36,Быково,486,Сопоставлено
36,Малаховка,484,Сопоставлено
36,Красково,483,Сопоставлено
36,Томилино,482,Сопоставлено
36,Выхино,477,Сопоставлено
36,Ипподром,493,Сопоставлено
36,Раменское,492,Сопоставлено
36,Авиамоторная,472,Сопоставлено
36,Панки,481,Сопоставлено
36,Ховрино,463,Сопоставлено
36,Электрозаводская,470,Сопоставлено
36,Люберцы,480,Сопоставлено
36,Перово,474,Сопоставлено
36,Косино,478,Сопоставлено
36,Вешняки,476,Сопоставлено
36,Плющево,475,Сопоставлено
36,Андроновка,473,Сопоставлено
36,Останкино,468,Сопоставлено
36,Лихоборы,466,Сопоставлено
36,Моссельмаш,465,Сопоставлено
36,Левобережная,462,Сопоставлено
36,Химки,461,Сопоставлено
36,Петровско-Разумовская,467,Сопоставлено
36,Молжаниново,460,Сопоставлено
36,Новоподрезково,459,Сопоставлено
36,Подрезково,458,Сопоставлено
36,Сходня,457,Сопоставлено
36,Зеленоград-Крюково,455,Сопоставлено
36,Сортировочная,471,Сопоставлено
36,Митьково,,Не сопоставлено
36,Есенинская,490,Сопоставлено
36,Ухтомская,479,Сопоставлено
36,Грачёвская,464,Сопоставлено
36,Фирсановская,456,Сопоставлено
37,Новогиреево,524,Сопоставлено
37,Внуково,501,Сопоставлено
37,Толстопальцево,499,Сопоставлено
37,Лесной Городок,500,Сопоставлено
37,Кутузовская,511,Сопоставлено
37,Переделкино,503,Сопоставлено
37,Солнечная,504,Сопоставлено
37,Мещерская,505,Сопоставлено
37,Очаково,506,Сопоставлено
37,Аминьевская,507,Сопоставлено
37,Матвеевская,508,Сопоставлено
37,Курская,519,Сопоставлено
37,Ольгино,529,Сопоставлено
37,Марьина Роща,516,Сопоставлено
37,Серп и Молот,520,Сопоставлено
37,Нижегородская,521,Сопоставлено
37,Чухлинка,522,Сопоставлено
37,Кусково,523,Сопоставлено
37,Реутов,531,Сопоставлено
37,Салтыковская,527,Сопоставлено
37,Кучино,528,Сопоставлено
37,Савёловская,515,Сопоставлено
37,Москва-Сити,512,Сопоставлено
37,Белорусская,514,Сопоставлено
37,Санино,497,Сопоставлено
37,Апрелевка,494,Сопоставлено
37,Крёкшино,496,Сопоставлено
37,Победа,495,Сопоставлено
37,Никольское,526,Сопоставлено
37,Площадь трёх вокзалов,518,Сопоставлено
37,Минская,509,Сопоставлено
37,Железнодорожная,530,Сопоставлено
37,Поклонная,510,Сопоставлено
37,Мичуринец,502,Сопоставлено
37,Кокошкино,498,Сопоставлено
38,Новопеределкино,532,Сопоставлено
38,Солнечная,504,Сопоставлено
75,Новаторская,548,Сопоставлено
75,Тютчевская,543,Сопоставлено
75,Корниловская,545,Сопоставлено
75,Генерала Тюленева,550,Сопоставлено
75,Коммунарка,557,Сопоставлено
75,Новомосковская,380,Сопоставлено
75,Университет Дружбы Народов,549,Сопоставлено
